_id,School Name,Enrolled population,DTP coverage rate (%),DTP Religious exemption rate (%),MMR coverage rate (%),MMR Religious exemption rate (%),Lat,Lng
423,Maryvale P.S.,180,89.4,2.2,92.8,1.7,43.75467112,-79.30791157
424,Mason Road Jr P.S.,209,89.5,0.5,90.4,0.5,43.73925479,-79.22568299
425,Maurice Cody Jr P.S.,374,96,2.1,96.3,2.1,43.70481966,-79.3774482
426,McKee P.S.,427,97.2,0.9,97.9,0.9,43.77292432,-79.41664769
427,McMurrich Jr P.S.,350,92.9,4,93.1,4,43.67807637,-79.43106195
428,Meadowvale P.S.,177,91,1.7,96,1.7,43.79551101,-79.16406818
429,Melody Village Jr School,124,99.2,0.8,97.6,0.8,43.73813475,-79.59484258
430,Michael Power/St Joseph H.S.,1818,84.6,2,95.5,2,43.65928999,-79.58198408
431,Military Trail P.S.,319,90.3,0.6,91.2,0.6,43.78911549,-79.19711697
432,Mill Valley Jr School,83,92.8,7.2,92.8,7.2,43.64418939,-79.58697157
433,Milliken P.S.,184,96.2,1.6,96.7,1.6,43.81658655,-79.28849695
434,Millwood Jr School,241,97.5,2.1,97.5,2.1,43.63336228,-79.57711952
435,Milne Valley Middle School,575,89.4,1.6,93.7,1.6,43.74720205,-79.32670912
436,Monarch Park C.I.,775,86.8,2.3,96,2.3,43.67928073,-79.32277189
437,Monsignor Fraser College - Alternate Study,106,82.1,1.9,95.3,1.9,43.66979946,-79.37715337
438,Monsignor Fraser College - Isabella,14,42.9,7.1,71.4,7.1,43.66979946,-79.37715337
439,Monsignor Fraser College - Midland,16,87.5,0,100,0,43.80106916,-79.28571749
440,Monsignor Fraser College - Midland North,28,89.3,0,96.4,0,43.80106916,-79.28571749
441,Monsignor Fraser College - Midtown,26,69.2,0,96.2,0,43.706595,-79.39996075
442,Monsignor Fraser College - Norfinch,73,80.8,0,93.2,0,43.75780953,-79.52704295
443,Monsignor Fraser College - Northeast,64,78.1,0,92.2,0,43.8218115,-79.27033145
444,Monsignor Fraser College - Southwest,99,75.8,1,94.9,1,43.66613477,-79.45644834
445,Monsignor Fraser College - St. Martin,16,62.5,0,100,0,43.66717452,-79.36442585
446,Monsignor John Corrigan C.S.,158,87.3,0.6,88,0.6,43.75157005,-79.60501369
447,Monsignor Percy Johnson Catholic H.S.,936,84.9,0.9,94.7,0.9,43.72069467,-79.57201689
448,Montrose Jr P.S.,112,99.1,0.9,98.2,0.9,43.65868159,-79.41884372
449,Morrish P.S.,235,94.9,0.4,97.9,0.4,43.79318792,-79.17927003
450,Morse Street Jr P.S.,323,96.6,1.9,96.9,1.9,43.66016692,-79.34016669
451,Mother Cabrini C.S.,136,87.5,2.2,89,2.2,43.66377811,-79.58630809
452,Mountview Alternative Jr,63,93.7,4.8,93.7,4.8,43.66353227,-79.48981138
453,Muirhead P.S.,97,96.9,2.1,90.7,2.1,43.77888402,-79.33745018
454,Native Learning Centre,15,66.7,6.7,86.7,6.7,43.66360843,-79.37917817
455,Nativity of Our Lord C.S.,322,86,2.8,87.6,2.8,43.65312324,-79.57537018
456,Neil McNeil High School,822,87.1,1.7,96.4,1.6,43.67923485,-79.28309716
457,Nelson Mandela Park P.S.,234,94,2.1,94.9,2.1,43.65835275,-79.36060291
458,Newtonbrook S.S.,749,80.6,1.7,89.9,1.7,43.79354914,-79.42624259
459,Niagara Street Jr P.S.,125,92,1.6,96.8,1.6,43.64393746,-79.40825293
460,Norman Cook Jr P.S.,83,95.2,1.2,96.4,1.2,43.71903913,-79.25779513
461,Norman Ingram P.S.,109,92.7,3.7,94.5,3.7,43.73995245,-79.34960615
462,Norseman JMS,581,92.9,2.1,96.7,2.1,43.63430526,-79.51632975
463,North Agincourt Jr P.S.,267,97.4,1.1,98.1,1.1,43.79645371,-79.27621279
464,North Albion C.I.,757,85.1,0.1,98,0,43.74714157,-79.58514278
465,North Bendale Jr P.S.,75,90.7,2.7,94.7,2.7,43.77045371,-79.24763647
466,North Bridlewood Jr P.S.,136,94.1,1.5,95.6,1.5,43.78891636,-79.31858708
467,North East Year Round Alternative,29,86.2,3.4,93.1,3.4,43.7842923,-79.35049619
468,North Kipling JMS,469,91.9,0.6,94.5,0.6,43.75176209,-79.58489255
469,North Preparatory Jr P.S.,122,95.1,0.8,96.7,0.8,43.70548233,-79.42038503
470,North Toronto C.I.,1286,86.2,1.2,97,1.2,43.70969341,-79.39723033
471,North West Year Round Alternative,14,71.4,0,100,0,43.78456549,-79.44100625
472,Northern S.S.,1678,85.3,3.1,95.8,3,43.7105371,-79.3901643
473,Northlea EMS,560,95.9,1.6,97.7,1.6,43.71462362,-79.37017345
474,Northview Heights S.S.,1490,84.6,1.1,93.7,1.1,43.77442921,-79.44632478
475,Norway Jr P.S.,185,94.6,3.8,96.2,3.8,43.67627905,-79.3066687
