school_name,enrolled_population,dtp_coverage_rate_percent,dtp_religious_exemption_rate_percent,mmr_coverage_rate_percent,mmr_religious_exemption_rate_percent
Holy Cross C.S.,239,87.4,0.8,88.3,0.8
Holy Family C.S.,167,82,1.2,83.2,1.2
Holy Name C.S.,234,87.6,1.7,91,1.7
Holy Rosary C.S.,193,87.6,1.6,87.6,1.6
Holy Spirit C.S.,324,84.3,0,85.8,0
Horizon Alternative Sr School,67,85.1,7.5,91,7.5
Howard Jr P.S.,328,94.8,4.3,94.8,4.3
Humber Summit Middle School,450,88.4,1.1,90.7,1.1
Humber Valley Village JMS,291,91.1,5.5,92.8,5.5
Humbercrest P.S.,494,94.5,2.6,96.4,2.6
Humberside C.I.,1195,84.1,2.6,96.2,2.6
Humberwood Downs JMA,554,95.8,0.4,96.4,0.4
Humewood Community School,410,93.7,3.9,95.1,3.7
Hunter's Glen Jr P.S.,302,92.1,0.7,94.4,0.7
Huron Street Jr P.S.,202,93.6,4.5,95.5,4.5
Immaculate Conception C.S.,340,92.4,0,93.2,0
Immaculate Heart of Mary C.S.,120,90.8,1.7,90.8,1.7
Indian Road Crescent Jr P.S.,204,94.1,4.4,95.1,4.4
Inglenook Community School,50,78,4,88,6
Inglewood Heights Jr P.S.,140,91.4,1.4,90.7,1.4
Ionview P.S.,262,93.9,0,94.7,0
Iroquois Jr P.S.,240,99.2,0,99.2,0
Island Public/Natural Science School,154,95.5,3.2,96.1,3.2
Islington JMS,342,92.1,1.8,93,1.8
J B Tyrrell Sr P.S.,415,90.8,1.2,96.4,1.4
J G Workman P.S.,136,93.4,0,94.1,0
J R Wilcox Community School,186,94.6,2.7,93.5,2.7
Jack Miner Sr P.S.,197,93.4,1,97.5,1
Jackman Avenue Jr P.S.,414,94.4,4.1,94.4,4.3
James Cardinal McGuigan Catholic H.S.,794,76.8,0.4,85.1,0.4
James Culnan C.S.,346,91.3,0.6,93.6,0.6
James S Bell JMS,318,91.2,4.1,92.8,4.1
Jarvis C.I.,638,86.8,0.9,95.5,0.8
Jean Vanier Catholic S.S.,821,82.7,0.5,91.6,0.4
Jesse Ketchum Jr & Sr P.S.,345,89.6,3.2,90.7,3.2
John A Leslie P.S.,383,93,0.3,93.7,0.3
John Buchan Sr P.S.,184,90.2,0,94,0
John D Parker Jr School,253,97.6,0.4,96.4,0.4
John English JMS,698,91.7,3.6,93.6,3.6
John Fisher Jr P.S.,292,92.8,3.8,94.5,3.8
John G Althouse Middle School,480,93.1,2.9,96,2.9
John G Diefenbaker P.S.,171,94.7,2.9,96.5,2.9
John McCrae P.S.,404,93.3,1.5,94.8,1.5
John Polanyi C.I.,743,79.1,1.6,87.9,1.6
John Ross Robertson Jr P.S.,372,96.2,2.4,96.2,2.4
John Wanless Jr P.S.,443,98.9,1.1,98.6,1.1
Joseph Brant Sr P.S.,459,86.9,1.1,90.8,1.1
Joseph Howe Sr P.S.,392,91.3,1.5,97.4,1.5
Josyf Cardinal Slipyj C.S.,395,84.8,7.8,84.8,7.8
Joyce P.S.,154,98.7,0,95.5,0
Kapapamahchakwe - Wandering Spirit School,153,68,7.8,73.9,8.5
Karen Kain School of The Arts,172,86.6,8.7,90.7,8.7
Keele Street Jr P.S.,347,90.2,4,92.2,4
Keelesdale Jr P.S.,78,96.2,0,97.4,0
Kennedy P.S.,415,97.6,0,96.4,0
Kensington Community School,95,90.5,3.2,91.6,3.2
Kew Beach Jr P.S.,312,94.9,3.8,94.6,3.8
Kimberley Jr P.S.,160,100,0,100,0
King Edward Jr & Sr P.S.,499,90.6,2.6,95,2.6
King George Jr P.S.,123,95.9,2.4,94.3,2.4
Kingslake P.S.,128,94.5,2.3,91.4,2.3
Kingsview Village Jr School,260,83.8,2.3,87.7,2.3
Kipling C.I.,410,75.4,0.2,89.5,0.2
Knob Hill P.S.,366,93.2,0.3,93.4,0.3
Lakeshore C.I.,603,81.6,2.5,94,2.5
Lamberton P.S.,189,92.1,1.6,94.7,1.6
Lambton Kingsway JMS,463,91.6,3.9,94.2,3.5
Runnymede C.I.,522,85.4,1.7,96.7,1.7
Lambton Park Community School,79,72.2,0,74.7,0
L'amoreaux C.I.,443,81.3,1.4,90.7,1.4
Lanor JMS,218,94.5,3.7,95.4,3.7
Lawrence Heights Middle School,148,89.9,2.7,92.6,2.7
Lawrence Park C.I.,1178,85.3,2.4,97.3,2.3
Leaside High School,958,86.5,1.5,97.7,1.5
Ledbury Park EMS,384,94.3,1.3,94.3,1.3
Lescon P.S.,112,84.8,2.7,84.8,2.7
Leslieville Jr P.S.,231,95.7,0.9,97.4,0.9
Lester B Pearson C.I.,1291,88,0.7,98.3,0.7
Lester B Pearson Elementary,385,94.8,2.3,97.9,2.1
Lillian P.S.,138,98.6,0,96.4,0
Lord Dufferin Jr & Sr P.S.,306,95.8,0.7,96.7,0.7
Lord Lansdowne Jr P.S.,174,95.4,3.4,96,3.4
Lord Roberts Jr P.S.,252,96.4,0.4,96.8,0.4
Loretto Abbey Catholic S.S.,904,86.7,1.5,97.7,1.5
Loretto College School,418,84.9,0.5,96.9,0.5
Lucy Maud Montgomery P.S.,133,95.5,0,98.5,0
Lucy McCormick Sr School,51,33.3,5.9,80.4,5.9
Lynngate Jr P.S.,104,92.3,2.9,93.3,2.9
Lynnwood Heights Jr P.S.,101,92.1,2,93.1,2
Macklin P.S.,340,95,0.6,95.9,0.6
Madonna Catholic S.S.,634,84.2,0.2,92.9,0.2
Malvern C.I.,1107,85.2,2.8,96.1,2.8
Malvern Jr P.S.,236,96.2,0.8,95.8,0.8
Manhattan Park Jr P.S.,65,90.8,3.1,89.2,3.1
Maple Leaf P.S.,160,91.3,4.4,93.1,4.4
Maplewood High School,93,86,5.4,94.6,4.3
Marc Garneau C.I.,1629,83.2,0.6,95,0.6
Market Lane Jr & Sr P.S.,191,91.6,1.6,92.1,1.6
Marshall McLuhan Catholic S.S.,1032,87.3,0.7,96.1,0.7
Martingrove C.I.,1088,86.8,0.9,97.1,0.9
