school_name,enrolled_population,dtp_coverage_rate,mmr_coverage_rate
DR MARION HILLIARD SENIOR PUBLIC SCHOOL,274,93.1,93.4
DR NORMAN BETHUNE COLLEGIATE INSTITUTE,969,91,97.3
DREWRY SECONDARY SCHOOL,69,85.5,91.3
DRIFTWOOD PUBLIC SCHOOL,190,92.6,93.7
DUBLIN HEIGHTS ELEMENTARY AND MIDDLE SCHOOL,563,84.2,86.9
DUKE OF CONNAUGHT JUNIOR AND SENIOR PUBLIC SCHOOL,633,96.5,96.5
DUNDAS JUNIOR PUBLIC SCHOOL,150,93.3,92
DUNLACE PUBLIC SCHOOL,161,95,95.7
EARL BEATTY JUNIOR AND SENIOR PUBLIC SCHOOL,212,91,92.5
EARL GREY SENIOR PUBLIC SCHOOL,453,92.9,95.8
EARL HAIG PUBLIC SCHOOL,295,93.6,95.3
EARL HAIG SECONDARY SCHOOL,1873,89.2,95.4
EAST ALTERNATIVE SCHOOL OF TORONTO,62,93.5,96.8
EAST YORK ALTERNATIVE SECONDARY SCHOOL,114,81.6,97.4
EAST YORK COLLEGIATE INSTITUTE,1040,88.6,94.5
EASTDALE COLLEGIATE INSTITUTE,116,81.9,93.1
EASTVIEW PUBLIC SCHOOL,201,77.1,83.1
EATONVILLE JUNIOR SCHOOL,100,97,98
ECOLE ELEMENTAIRE CHARLES-SAURIOL,147,92.5,93.2
ECOLE ELEMENTAIRE ETIENNE-BRULE,148,85.1,87.2
ECOLE ELEMENTAIRE FELIX-LECLERC,104,86.5,87.5
ECOLE ELEMENTAIRE GABRIELLE-ROY,135,91.1,90.4
ECOLE ELEMENTAIRE JEANNE-LAJOIE,201,90.5,93
ECOLE ELEMENTAIRE LA MOSAIQUE,212,90.6,92
ECOLE ELEMENTAIRE LAURE-RIESE,124,89.5,87.9
ECOLE ELEMENTAIRE MATHIEU-DA-COSTAI,82,85.4,91.5
ECOLE ELEMENTAIRE MICHELINE-SAINT-CYR,42,88.1,76.2
ECOLE ELEMENTAIRE PAUL-DEMERS,46,63,71.7
ECOLE ELEMENTAIRE PIERRE-ELLIOTT-TRUDEAU,168,94.6,93.5
ECOLE ELEMENTAIRE TORONTO OUEST,164,83.5,87.8
ECOLE SECONDAIRE ETIENNE-BRULE,280,87.1,93.9
ECOLE SECONDAIRE TORONTO OUEST,169,87,92.9
EDGEWOOD PUBLIC SCHOOL,102,96.1,96.1
EEC DU SACRE-COEUR-TORONTO,70,97.1,97.1
EEC GEORGES-ETIENNE-CARTIER,223,97.8,98.7
EEC NOTRE-DAME-DE-GRACE - TORONTO,110,92.7,93.6
EEC SAINTE-MADELEINE,148,95.3,95.3
EEC SAINTE-MARGUERITE-D'YOUVILLE,222,95.5,93.7
EEC SAINT-JEAN-DE-LALANDE,74,95.9,93.2
EEC SAINT-MICHEL-TORONTO,78,92.3,94.9
EEC SAINT-NOEL-CHABANEL-TORONTO,83,94,95.2
EGLINTON JUNIOR PUBLIC SCHOOL,207,88.9,87
EIC MONSEIGNEUR-DE-CHARBONNEL,127,89.8,92.1
EIC PERE-PHILIPPE-LAMARCHE,112,92,94.6
EIC SAINT-FRERE-ANDRE,110,88.2,93.6
ELIA MIDDLE SCHOOL,297,89.9,93.3
ELIZABETH SIMCOE JUNIOR PUBLIC SCHOOL,175,90.9,93.7
ELKHORN PUBLIC SCHOOL,180,89.4,92.8
ELLESMERE-STATTON PUBLIC SCHOOL,422,95.7,95.5
ELMBANK JUNIOR MIDDLE ACADEMY,237,83.1,84
ELMLEA JUNIOR SCHOOL,176,87.5,86.9
EMERY COLLEGIATE INSTITUTE,554,84.5,90.4
EMILY CARR PUBLIC SCHOOL,210,95.7,95.2
EPIPHANY OF OUR LORD CATHOLIC ACADEMY,115,87,89.6
EQUINOX HOLISTIC ALTERNATIVE SCHOOL,112,77.7,77.7
ERNEST PUBLIC SCHOOL,55,98.2,96.4
ESC MONSEIGNEUR-DE-CHARBONNEL,199,83.4,92.5
ESC SAINT-FRERE-ANDRE,185,83.8,92.4
ESSEX JUNIOR AND SENIOR PUBLIC SCHOOL,176,88.1,90.9
ETIENNE BRULE JUNIOR SCHOOL,76,97.4,96.1
ETOBICOKE COLLEGIATE INSTITUTE,1004,88.4,95.7
ETOBICOKE SCHOOL OF THE ARTS,939,82.5,93.1
ETOBICOKE YEAR ROUND ALTERNATIVE CENTRE,36,83.3,97.2
F H MILLER JUNIOR PUBLIC SCHOOL,61,93.4,93.4
FAIRBANK JUNIOR AND MIDDLE SCHOOL,217,92.2,93.1
FAIRBANK MEMORIAL COMMUNITY SCHOOL,53,94.3,96.2
FAIRGLEN JUNIOR PUBLIC SCHOOL,215,98.1,98.6
FAIRMOUNT PUBLIC SCHOOL,281,88.3,92.2
FATHER HENRY CARR CATHOLIC SECONDARY SCHOOL,917,86.8,93.5
FATHER JOHN REDMOND CATHOLIC SECONDARY SCHOOL,1229,84.5,93.1
FATHER SERRA CATHOLIC SCHOOL,332,93.7,95.5
FAYWOOD ARTS-BASED CURRICULUM SCHOOL,274,90.5,89.4
FENSIDE PUBLIC SCHOOL,94,91.5,92.6
FERN AVENUE JUNIOR AND SENIOR PUBLIC SCHOOL,485,94.8,96.7
FINCH PUBLIC SCHOOL,105,91.4,92.4
FIRGROVE PUBLIC SCHOOL,151,89.4,91.4
FIRST NATIONS SCHOOL OF TORONTO,130,69.2,74.6
FISHERVILLE SENIOR PUBLIC SCHOOL,160,95.6,91.3
FLEMING PUBLIC SCHOOL,174,95.4,98.3
FLEMINGTON PUBLIC SCHOOL,101,91.1,89.1
FOREST HILL COLLEGIATE INSTITUTE,954,89.1,95
FOREST HILL JUNIOR AND SENIOR PUBLIC SCHOOL,650,88.6,90.2
FOREST MANOR PUBLIC SCHOOL,302,86.4,87.7
FRANCIS LIBERMANN CATHOLIC HIGH SCHOOL,906,89,94.9
FRANK OKE SECONDARY SCHOOL,79,84.8,97.5
FRANKLAND COMMUNITY SCHOOL,187,89.3,91.4
GALLOWAY ROAD PUBLIC SCHOOL,134,89.6,94
GARDEN AVENUE JUNIOR PUBLIC SCHOOL,130,94.6,95.4
GATEWAY PUBLIC SCHOOL,411,83.2,86.9
GENERAL BROCK PUBLIC SCHOOL,243,90.5,88.9
GENERAL CRERAR PUBLIC SCHOOL,248,88.3,91.5
GENERAL MERCER JUNIOR PUBLIC SCHOOL,108,89.8,89.8
GEORGE ANDERSON PUBLIC SCHOOL,66,98.5,97
GEORGE B LITTLE PUBLIC SCHOOL,260,90,93.5
GEORGE HARVEY COLLEGIATE INSTITUTE,488,78.9,83.6
GEORGE P MACKIE JUNIOR PUBLIC SCHOOL,68,92.6,92.6
GEORGE PECK PUBLIC SCHOOL,162,95.7,96.3
GEORGE R GAULD JUNIOR SCHOOL,52,92.3,96.2
GEORGE S HENRY ACADEMY,373,84.2,90.1
GEORGE SYME COMMUNITY SCHOOL,162,85.2,88.9
GEORGE WEBSTER ELEMENTARY SCHOOL,500,90.8,90.2
GEORGES VANIER SECONDARY SCHOOL,850,77.1,81.8
GIVINS/SHAW JUNIOR PUBLIC SCHOOL,155,88.4,89
GLAMORGAN JUNIOR PUBLIC SCHOOL,257,91.4,96.5
GLEDHILL JUNIOR PUBLIC SCHOOL,186,90.3,93
GLEN AMES SENIOR PUBLIC SCHOOL,416,95.2,97.4
GLEN PARK PUBLIC SCHOOL,254,90.9,94.1
GLEN RAVINE JUNIOR PUBLIC SCHOOL,151,96.7,96.7
GLENVIEW SENIOR PUBLIC SCHOOL,770,94.7,95.6
GOLF ROAD JUNIOR PUBLIC SCHOOL,151,94,96.7
GORDON A BROWN MIDDLE SCHOOL,372,86.3,88.7
GOSFORD PUBLIC SCHOOL,111,90.1,94.6
GRACEDALE PUBLIC SCHOOL,278,92.1,93.5
GRACEFIELD PUBLIC SCHOOL,102,92.2,94.1
GREENHOLME JUNIOR MIDDLE SCHOOL,213,89.2,91.1
GREENLAND PUBLIC SCHOOL,53,94.3,94.3
GRENOBLE PUBLIC SCHOOL,509,85.7,87.8
GREY OWL JUNIOR PUBLIC SCHOOL,115,89.6,91.3
GUILDWOOD JUNIOR PUBLIC SCHOOL,58,89.7,89.7
GULFSTREAM PUBLIC SCHOOL,371,90.3,93.3
H A HALBERT JUNIOR PUBLIC SCHOOL,114,92.1,94.7
H J ALEXANDER COMMUNITY SCHOOL,236,87.7,91.1
HARBORD COLLEGIATE INSTITUTE,1016,87.6,95.9
HARRISON PUBLIC SCHOOL,75,98.7,96
HARWOOD PUBLIC SCHOOL,117,94.9,96.6
HAVERGAL JUNIOR SCHOOL,288,80.9,92
