school_name,enrolled_population,dtp_coverage_rate_percent,mmr_coverage_rate_percent
Our Lady of Perpetual Help C.S.,244,93,92.2
Our Lady of Sorrows C.S.,577,90.5,92.5
Our Lady of The Assumption C.S.,284,77.8,75
Our Lady of Victory C.S.,485,86.6,88.7
Our Lady of Wisdom C.S.,236,88.1,91.1
Owen P.S.,331,95.2,94.9
Palmerston Avenue Jr P.S.,269,92.9,92.2
Pape Avenue Jr P.S.,230,96.5,97.4
Park Lane P.S.,47,55.3,74.5
Park Lawn JMS,383,92.7,93.5
Parkdale C.I.,493,84.8,95.7
Parkdale Jr & Sr P.S.,334,87.1,86.2
Parkfield Jr School,152,94.7,96.1
Parkside Elementary,101,94.1,96
Parkview Alternative,43,88.4,95.3
Pauline Johnson Jr P.S.,167,92.8,93.4
Pauline Jr P.S.,164,90.2,90.9
Pelmo Park P.S.,166,91.6,90.4
Percy Williams Jr P.S.,197,98.5,98.5
Perth Avenue Jr P.S.,175,92,90.3
Pierre Laporte Middle School,398,88.2,91.7
Pineway P.S.,76,90.8,89.5
Pleasant P.S.,272,95.2,93
Pleasant View Middle School,313,93.9,93.6
Pope Francis C.S.,184,89.1,91.3
Poplar Road Jr P.S.,159,97.5,98.1
Port Royal P.S.,243,95.5,96.3
Portage Trail Community Jr School,480,91.9,92.3
Precious Blood C.S.,327,85.6,87.5
Presteign Heights Elementary,135,94.8,94.1
Prince of Peace C.S.,230,90.9,93
Princess Margaret Jr School,209,89.5,90.4
Queen Alexandra Middle School,342,89.5,95
Queen Victoria Jr P.S.,586,89.4,92.5
Quest Alternative Sr,66,86.4,89.4
R H King Academy,1229,87.2,98
R H McGregor Elementary,409,96.3,96.1
R J Lang EMS,323,89.8,90.1
Ranchdale P.S.,124,96,96.8
Rawlinson Community School,501,93,95
Regal Road Jr P.S.,357,93.3,93.3
Regent Heights P.S.,371,91.4,91.1
Regina Mundi C.S.,280,88.2,91.4
Rene Gordon Health & Wellness Academy,161,95,94.4
Richview C.I.,1035,84.8,96.8
Rippleton P.S.,161,97.5,96.9
Rivercrest Jr School,118,94.1,91.5
Riverdale C.I.,1198,87.1,96.3
Robert Service Sr P.S.,166,88,97.6
Rockcliffe Middle School,296,88.9,95.3
Rockford P.S.,430,93.7,94.2
Roden P.S.,284,90.1,94.4
Rolph Road Elementary,235,97.4,97.4
Rose Avenue Jr P.S.,371,95.7,95.1
Rosedale Heights School of The Arts,1045,80.9,89.6
Rosedale Jr P.S.,151,98.7,98.7
Roselands Jr P.S.,200,95.5,94
Rosethorn Jr School,258,94.6,93.8
Rouge Valley P.S.,163,95.1,98.2
Roywood P.S.,104,92.3,91.3
Runnymede Jr & Sr P.S.,707,95.5,97.9
Ryerson Community School,309,81.9,85.1
Sacred Heart C.S.,194,84.5,88.7
Samuel Hearne P.S.,372,87.9,90.3
Santa Maria C.S.,161,90.1,91.3
Satec at W A Porter C.I.,1181,88,96.4
Scarborough Village P.S.,140,91.4,95.7
School of Experiential Education,45,77.8,97.8
School of Life Experience,28,92.9,96.4
Second Street JMS,351,93.7,94.3
Secord Elementary,327,93,93.9
Seed Alternative,31,80.6,90.3
Selwyn Elementary,163,95.7,96.3
Senator O'Connor College,1321,85.5,94.7
Seneca Hill P.S.,195,99,98.5
Seneca School,56,91.1,94.6
Seventh Street Jr School,118,94.9,95.8
Shaughnessy P.S.,143,97.2,97.9
Sheppard P.S.,99,98,94.9
Shirley Street Jr P.S.,111,91.9,91.9
Shoreham P.S.,146,90.4,91.1
